歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
神鳴,expert,14.5,物量譜面,"全體難,拘束配置,高速處理","交互穩定,片手處理",中高,圖面整體處理量高，長條/滑條、AIR 與 TAP 交錯密集；定數空白，建議人工確認。
MALKUTH,expert,14.5,拘束配置,"全體難,視認難,物量譜面","片手處理,擦り可用",中高,圖面有大量長條/綠線與 TAP 配置交錯，手順牽制與視認壓力明顯；定數空白，疑似頁面歌名簡稱未與定數表完整曲名對上，建議人工確認。
IMPACT,master,14.5,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","鍵盤, 交互穩定",低,BPM 210、CHAIN 3244；CHAIN 極高，譜面呈現持續高密度處理，重點是耐力與穩定度。
Ultimate taste,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 200、CHAIN 2299；譜面整體密度高，持續處理量與配置穩定度是重點。
愛して愛して愛して,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定, 擦り可用",中低,BPM 230、CHAIN 2373；譜面整體密度高，持續處理量與配置穩定度是重點。部分重疊或滑條牽制段落可用擦り輔助。
In the Straying Story,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 192、CHAIN 2380；譜面整體密度高，持續處理量與配置穩定度是重點。
ノーライ,master,14.5,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","鍵盤, 交互穩定",中低,BPM 190、CHAIN 2875；譜面整體密度高，持續處理量與配置穩定度是重點。
ソーシャルワンダーランド,master,14.5,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 212、CHAIN 2114；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
Dèfandour,master,14.5,高速處理,"視認難, 局部難, 混合節奏","餡蜜推薦, 鍵盤",中低,BPM 1924、CHAIN 1924；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
SUPER AMBULANCE,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 200、CHAIN 2699；譜面整體密度高，持續處理量與配置穩定度是重點。
Qliphothgear,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 212、CHAIN 2778；中高速高密度譜面，鍵盤配置與持續處理壓力明顯。
SQUAD-Phvntom-,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 200、CHAIN 2358；中高速綜合物量型，配置與基礎穩定度都要顧。
Dreadnought,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 擦り可用",中低,BPM 192、CHAIN 2315；整體處理量偏高，部分重疊配置可用擦り穩定。
Elemental Creation,master,14.5,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 交互穩定",中低,BPM 212、CHAIN 1710；中高速綜合配置型，速度與節奏穩定度是重點。
Amatsu,master,14.5,標準,"混合節奏, 拘束配置, 全體難",鍵盤,中,BPM 150、CHAIN 2150；偏綜合型，節奏、配置與基礎穩定度都要顧。
聖者の息吹,master,14.5,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 180、CHAIN 1509；整體量不算爆，主要看局部段落、特殊配置與手順。
きゅびびびびずむ,master,14.5,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","鍵盤, 交互穩定, 擦り可用, 全押推薦",中,BPM 185、CHAIN 2848；譜面整體密度高，持續處理量與配置穩定度是重點。部分重疊或滑條牽制段落可用擦り輔助。部分密集多押段落可用全押思維提高穩定度。
スパイダーダンス,master,14.5,局部難,"視認難, 拘束配置, 混合節奏","片手處理, 擦り可用",中,BPM 115、CHAIN 1276；整體量不算爆，主要看局部段落、特殊配置與手順。部分重疊或滑條牽制段落可用擦り輔助。
BOUNCE & DANCE,master,14.5,拘束配置,"視認難, 全體難, 混合節奏","鍵盤, 片手處理",中,BPM 135、CHAIN 1993；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。
Destined Marionette,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 186、CHAIN 1956；偏綜合型，節奏、配置與基礎穩定度都要顧。
おしゃまなプリンセス,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 200、CHAIN 2245；偏綜合型，節奏、配置與基礎穩定度都要顧。
Wildfire,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 全押推薦",中,BPM 208、CHAIN 2473；譜面整體密度高，持續處理量與配置穩定度是重點。部分密集多押段落可用全押思維提高穩定度。
CELERITAS,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 190、CHAIN 2031；偏綜合型，節奏、配置與基礎穩定度都要顧。
Valsqotch,master,14.5,拘束配置,"視認難, 全體難, 混合節奏","鍵盤, 片手處理, 擦り可用",中,BPM 125、CHAIN 1973；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。部分重疊或滑條牽制段落可用擦り輔助。
Akasagarbha -reincarnate-,master,14.5,局部難,"視認難, 拘束配置, 混合節奏","片手處理, 擦り可用",中,BPM 192、CHAIN 1465；整體量不算爆，主要看局部段落、特殊配置與手順。部分重疊或滑條牽制段落可用擦り輔助。
J219,master,14.5,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用",中,BPM 147、CHAIN 999；CHAIN 很低但譜面有大量長條/滑條牽制，重點是手順、視認與局部特殊配置。
NightTheater,master,14.5,拘束配置,"視認難, 局部難, 混合節奏",片手處理,中,BPM 151、CHAIN 1451；譜面整體量不高，但長條與 TAP 的交錯牽制明顯，偏局部處理型。
TECHNOPOLIS 2085,master,14.5,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用",中,BPM 134、CHAIN 1796；譜面有長條與特殊配置牽制，手順與視認是重點，部分配置可擦り。
U ARE,master,14.5,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用",中,BPM 130、CHAIN 1582；低速特殊配置較多，手順與視認壓力明顯，部分配置可擦り。
Destr0yer,master,14.5,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用",中,BPM 90、CHAIN 2510；低速高密度牽制型，滑條與手順壓力明顯，擦り可輔助。
ZEUS,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 170、CHAIN 1983；偏綜合型，節奏與配置穩定度都要顧。
暗晦にハイライト,master,14.5,標準,"混合節奏, 拘束配置, 全體難",鍵盤,中,BPM 190、CHAIN 1988；偏中高速綜合配置型，重點是基礎穩定度。
星の器~STAR OF ANDROMEDA,master,14.5,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 155、CHAIN 1700；偏局部配置與手順處理型，整體不算純物量。
Name of oath,master,14.5,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 174、CHAIN 1798；偏綜合配置型，局部節奏與手順較重要。
Air,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 178、CHAIN 1856；偏綜合型，節奏與配置穩定度都要顧。
Philosopher,master,14.5,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 145、CHAIN 1866；雖 CHAIN 不低，但譜面段落性與特殊配置較明顯，偏局部手順型。
初音ミクの消失,master,14.5,高速處理,"視認難, 局部難, 混合節奏",餡蜜推薦,中,BPM 240、CHAIN 1743；高 BPM 局部配置壓力強，餡蜜處理很實用。
Genesis,master,14.5,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 150、CHAIN 1393；整體量不高，主要看局部配置、視認與手順。
Blue Noise,master,14.5,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 150、CHAIN 1481；譜面偏局部配置與視認，整體不算物量。
luna blu,master,14.5,標準,"混合節奏, 拘束配置, 局部難",鍵盤,中,BPM 160、CHAIN 1640；偏綜合配置型，節奏與局部手順是重點。
Tango Rouge,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 152、CHAIN 1806；偏綜合型，節奏與配置穩定度都要顧。
Road to Aventura,master,14.5,標準,"混合節奏, 拘束配置, 局部難",,中高,BPM 155；CHAIN 空白；偏綜合型，節奏、配置與基礎穩定度都要顧。
MuseDashを作っている,master,14.5,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中高,BPM 210、CHAIN 2184；定數空白；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
めっちゃ煽ってくるタイプの音ゲー,master,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中高,BPM 222、CHAIN 2447；定數空白；譜面整體密度高，持續處理量與配置穩定度是重點。
管弦楽組曲 第3番 ニ長調,master,14.5,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中高,BPM 180、CHAIN 2161；定數空白，偏綜合配置型，技巧標籤保守。
オーバーライド,ultima,14.5,高速處理,"全體難, 物量譜面, 拘束配置","餡蜜可用, 交互穩定",中低,BPM 204、CHAIN 2101；譜面有中高速連續段與混合配置，重點是節奏穩定與高速處理。
最終鬼畜妹フランドール・S,ultima,14.5,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 交互穩定",中低,BPM 200、CHAIN 2084；譜面有中高速混合配置與連續段，重點是節奏穩定與高速處理。
キャンディークッキーチョコレート,ultima,14.5,拘束配置,"混合節奏, 全體難, 局部難","鍵盤, 交互穩定, 擦り可用",中,BPM 173、CHAIN 2111；譜面中有不少 HOLD/SLIDE/AIR 牽制與重疊快速配置，整體不是單純物量，擦り可輔助穩定。
メズマライザー,ultima,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中高,BPM 185、CHAIN 未抓到；譜面圖有連續密集 TAP 與整體配置壓力，但 CHAIN 缺失，分類保守。
おいでよ! 高須らいむランド,ultima,14.5,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",高,BPM 170、CHAIN 2254；此首未取得譜面圖，先依數值保守判為綜合物量型，技巧標籤需人工確認。
ラヴィ,ultima,14.5,標準,"混合節奏, 拘束配置, 全體難",鍵盤,高,BPM 183、CHAIN 2004；此首未取得譜面圖，先依數值保守判為中高速綜合型，技巧標籤需人工確認。
Crossmythos Rhapsodia,expert,14.6,標準,"混合節奏,拘束配置,局部難",交互穩定,中,圖面偏綜合配置型，TAP、HOLD、SLIDE、AIR 交錯但沒有單一極端核心；局部有滑條牽制與節奏變化，重點在基礎穩定與手順整理。
ウニの歌,master,14.6,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 210、CHAIN 2337；譜面整體密度高，持續處理量與配置穩定度是重點。
花と、雪と、ドラムンベース。,master,14.6,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 擦り可用",中低,BPM 180、CHAIN 2253；整體處理量偏高，混合配置與重疊段落多，擦り可提高穩定度。
ハードコア・シンドローム,master,14.6,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 190、CHAIN 2424；譜面密度偏高，配置與交互穩定度重要。
Walzer für das Nichts,master,14.6,物量譜面,"高速處理, 全體難, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 215、CHAIN 2510；譜面密度高且速度壓力不低，整體穩定度重要。
CITRUS MONSTER,master,14.6,物量譜面,"高速處理, 全體難, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 220、CHAIN 2377；譜面有高速配置與持續處理量，鍵盤與節奏穩定是重點。
GERBERA,master,14.6,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 205、CHAIN 2209；中高速綜合物量，部分段落可用餡蜜穩定。
極圏,master,14.6,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 交互穩定",中低,BPM 207、CHAIN 1985；中高速綜合配置型，節奏與餡蜜輔助都可用。
Halcyon,master,14.6,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 191、CHAIN 2070；偏中高速綜合物量型，配置穩定度重要。
Daydreama,master,14.6,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 153、CHAIN 1805；偏綜合型，節奏、配置與基礎穩定度都要顧。
幽霊船戦,master,14.6,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 160、CHAIN 1654；整體量不算爆，主要看局部段落、特殊配置與手順。
Overhea[r]t,master,14.6,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 185、CHAIN 2121；偏綜合型，節奏、配置與基礎穩定度都要顧。
Alcyone,master,14.6,拘束配置,"視認難, 全體難, 混合節奏","交互穩定, 片手處理, 擦り可用",中,BPM 176、CHAIN 2014；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。部分重疊或滑條牽制段落可用擦り輔助。
Spasmodic,master,14.6,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 200、CHAIN 2062；偏綜合型，節奏、配置與基礎穩定度都要顧。
VALLIS-NERIA,master,14.6,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 185、CHAIN 2247；偏綜合型，節奏、配置與基礎穩定度都要顧。
本物のヒーローとの戦い,master,14.6,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 150、CHAIN 1632；整體量不算爆，主要看局部段落、特殊配置與手順。
空間創造理論,master,14.6,拘束配置,"視認難, 全體難, 混合節奏","鍵盤, 片手處理",中,BPM 138、CHAIN 2084；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。
Desperado Waltz,master,14.6,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 172、CHAIN 2222；偏綜合型，節奏、配置與基礎穩定度都要顧。
†大闘士=クライン・フォーゲル・シュピール=えりか†,master,14.6,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 全押推薦",中,BPM 200、CHAIN 2438；譜面整體密度高，持續處理量與配置穩定度是重點。部分密集多押段落可用全押思維提高穩定度。
WE'RE BACK!!,master,14.6,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 185、CHAIN 2108；偏綜合型，節奏、配置與基礎穩定度都要顧。
[CRYSTAL_ACCESS],master,14.6,拘束配置,"全體難, 視認難, 混合節奏","擦り可用, 鍵盤, 交互穩定",中,BPM 160、CHAIN 2088；譜面有你前面提過的重疊快速配置，正攻可行但擦り能明顯提高穩定度。
ミュージック・リボルバー,master,14.6,拘束配置,"視認難, 局部難, 混合節奏","片手處理, 擦り可用",中,BPM 168、CHAIN 1484；譜面有長條/滑條牽制與局部段落壓力，部分配置可擦り輔助。
《自戒》 ~ Paganelope,master,14.6,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用",中,BPM 128、CHAIN 1802；低速但視認與長條牽制多，手順壓力明顯，部分段落可擦り。
《本能》 ~ ReCoda,master,14.6,拘束配置,"視認難, 局部難, 混合節奏","片手處理, 擦り可用",中,BPM 156、CHAIN 1718；譜面有低中速牽制與特殊手順，部分滑條旁配置可擦り。
PUPA,master,14.6,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 202、CHAIN 1876；中高速綜合型，節奏與配置穩定度重要。
Aragami,master,14.6,局部難,"視認難, 拘束配置, 混合節奏","餡蜜可用, 片手處理",中,BPM 196、CHAIN 1414；整體量不高但局部配置尖，部分段落可用餡蜜或手順處理。
ジングルベル,master,14.6,拘束配置,"視認難, 局部難, 混合節奏","片手處理, 擦り可用",中,BPM 100、CHAIN 1799；低速特殊配置與滑條牽制明顯，部分段落可用擦り輔助。
閃鋼のブリューナク,master,14.6,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 140、CHAIN 1622；整體量不爆，主要看局部配置、視認與手順。
MORNINGLOOM,master,14.6,標準,"混合節奏, 拘束配置, 局部難",,中高,BPM 204；CHAIN 空白；偏綜合型，節奏、配置與基礎穩定度都要顧。
超熊猫的周遊記,master,14.6,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用",中高,BPM 158、CHAIN 2062；定數空白；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。部分重疊或滑條牽制段落可用擦り輔助。
"Good bye, Merry-Go-Round.",master,14.6,標準,"混合節奏, 拘束配置, 局部難",,高,BPM 185、CHAIN 1831；定數空白，譜面偏綜合配置型，技巧標籤先保守。
Change Our MIRAI!,ultima,14.6,高速處理,"全體難, 物量譜面, 拘束配置","餡蜜可用, 交互穩定, 鍵盤",中低,BPM 256、CHAIN 2250；高速下有連續配置與多段處理，譜面圖呈現整體高速壓力，部分段落可用餡蜜降低失誤。
アルストロメリア,ultima,14.6,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 144、CHAIN 1346；譜面圖顯示段落配置與長條牽制較核心，整體量不高，偏局部處理型。
Last Celebration,master,14.7,物量譜面,"高速處理, 全體難, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",低,BPM 238、CHAIN 2756；高速且處理量高，部分高速配置可用餡蜜降低失誤。
しとしとと,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 215、CHAIN 2330；譜面整體密度高，持續處理量與配置穩定度是重點。
Galaxy Blaster,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 208、CHAIN 2599；譜面整體密度高，持續處理量與配置穩定度是重點。
〚盲従〛 ~Fantasia Sonata Flower,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 190、CHAIN 2406；譜面整體密度高，持續處理量與配置穩定度是重點。
FLUFFY FLASH,master,14.7,高速處理,"視認難, 局部難, 混合節奏","餡蜜推薦, 鍵盤",中低,BPM 252、CHAIN 2113；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
Everlasting Liberty,master,14.7,高速處理,"視認難, 局部難, 混合節奏","餡蜜推薦, 鍵盤",中低,BPM 242、CHAIN 2060；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
Fracture Ray,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 200、CHAIN 2792；密度高且持續，部分中高速配置可用餡蜜輔助。
larva,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 202、CHAIN 2292；中高速配置與整體處理量明顯。
Nhelv,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 擦り可用",中低,BPM 175、CHAIN 2530；譜面密度高，混合配置與重疊段落多，擦り可輔助。
Scarlet Lance,master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 185、CHAIN 2214；譜面偏綜合物量，配置穩定度重要。
VERTeX,master,14.7,物量譜面,"高速處理, 全體難, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 237、CHAIN 2279；高速配置與整體處理量都明顯。
Imperishable Night 2006 (2016 Refine),master,14.7,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 擦り可用",中低,BPM 161、CHAIN 2016；譜面有混合配置與重疊段落，擦り可輔助部分處理。
Reverie ft. xia,master,14.7,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 172、CHAIN 2013；偏綜合型，節奏、配置與基礎穩定度都要顧。
内臓♡マニピ,master,14.7,拘束配置,"視認難, 全體難, 混合節奏","鍵盤, 片手處理",中,BPM 120、CHAIN 1912；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。
Ai C,master,14.7,標準,"混合節奏, 拘束配置, 全體難","鍵盤, 交互穩定",中,BPM 191、CHAIN 2222；偏綜合型，節奏、配置與基礎穩定度都要顧。
Sage,master,14.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 145、CHAIN 1897；偏綜合型，節奏、配置與基礎穩定度都要顧。
deadeye,master,14.7,標準,"混合節奏, 拘束配置, 全體難",鍵盤,中,BPM 167、CHAIN 2190；偏綜合型，節奏、配置與基礎穩定度都要顧。
GEOMETRIC DANCE,master,14.7,標準,"混合節奏, 拘束配置, 全體難",鍵盤,中,BPM 150、CHAIN 2023；偏綜合型，節奏、配置與基礎穩定度都要顧。
LiftOff,master,14.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 137、CHAIN 1749；偏綜合型，節奏、配置與基礎穩定度都要顧。
ウルガレオン,master,14.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 142、CHAIN 1759；偏綜合型，節奏、配置與基礎穩定度都要顧。
田中,master,14.7,標準,"混合節奏, 拘束配置, 局部難",交互穩定,中,BPM 186、CHAIN 1802；偏綜合型，節奏、配置與基礎穩定度都要顧。
月の光,master,14.7,拘束配置,"視認難, 全體難, 混合節奏","鍵盤, 片手處理",中,BPM 98、CHAIN 2555；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。
色彩過剰のダイアリーミュージック,master,14.7,拘束配置,"視認難, 全體難, 混合節奏","鍵盤, 片手處理",中,BPM 136、CHAIN 2206；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。
BLUE ZONE,master,14.7,標準,"混合節奏, 拘束配置, 局部難",擦り可用,中,BPM 168、CHAIN 1707；偏綜合型，節奏、配置與基礎穩定度都要顧。部分重疊或滑條牽制段落可用擦り輔助。
B100d Hunter,master,14.7,拘束配置,"全體難, 視認難, 混合節奏","鍵盤, 片手處理",中,BPM 164、CHAIN 2060；譜面有長條/滑條牽制與綜合配置壓力，手順要求高。
Parad'ox,master,14.7,拘束配置,"全體難, 視認難, 混合節奏","鍵盤, 片手處理",中,BPM 168、CHAIN 2056；譜面有長條、滑條與 TAP 交錯，手順與視認壓力較明顯。
AXION,master,14.7,局部難,"視認難, 拘束配置, 混合節奏","片手處理, 擦り可用",中,BPM 160、CHAIN 1310；CHAIN 低但譜面局部配置特殊，部分段落可用擦り輔助。
folern,master,14.7,標準,"混合節奏, 拘束配置, 全體難",鍵盤,中,BPM 200、CHAIN 2000；偏綜合型，中高速節奏與配置穩定度都要顧。
Sparking Revolver,master,14.7,高速處理,"視認難, 局部難, 混合節奏",餡蜜推薦,中,BPM 357、CHAIN 1850；極高 BPM 局部配置壓力強，推分時餡蜜處理較實際。
G e n g a o z o,master,14.7,標準,"混合節奏, 拘束配置, 全體難",鍵盤,中,BPM 153、CHAIN 1995；偏綜合型，節奏、配置與穩定度都要顧。
GOLDEN RULE,master,14.7,拘束配置,"視認難, 局部難, 混合節奏","片手處理, 擦り可用",中,BPM 165、CHAIN 1730；譜面有局部特殊配置與牽制，部分段落可擦り輔助。
Gate of Fate,master,14.7,拘束配置,"視認難, 全體難, 混合節奏","片手處理, 擦り可用, 全押推薦",中,BPM 128、CHAIN 1932；低速牽制與特殊配置明顯，且有你前面提過的全押/擦り型段落。
BIRTH,master,14.7,拘束配置,"視認難, 局部難, 混合節奏","片手處理, 擦り可用",中高,BPM 176；CHAIN 空白；譜面有較多長條/滑條/AIR 與 TAP 交錯，手順與視認牽制明顯。部分重疊或滑條牽制段落可用擦り輔助。
化けの花,ultima,14.7,局部難,"視認難, 拘束配置, 混合節奏","片手處理, 擦り可用",中,BPM 180、CHAIN 1525；譜面段落性明顯，有滑條與小鍵牽制，整體量不爆，主要看局部配置與手順。
Hyperion,ultima,14.7,拘束配置,"全體難, 混合節奏, 局部難","鍵盤, 擦り可用",中,BPM 155、CHAIN 2035；譜面有多段重疊快速、長條/滑條旁配置與局部牽制，擦り能提高穩定度。
Evans,ultima,14.7,局部難,"視認難, 拘束配置, 混合節奏",片手處理,中,BPM 185、CHAIN 1580；譜面整體量不高，主要難點在局部配置、長條/滑條牽制與手順。
創 -汝ら新世界へ歩む者なり-,expert,14.8,物量譜面,"全體難,拘束配置,最後不能鬆懈","交互穩定,階段",中低,圖面整體密度高且持續，TAP、長條、滑條、AIR 與階段配置大量交錯；後段仍維持高處理量，耐力與配置穩定度是主軸。
YOUNITHM,expert,14.8,高速處理,"全體難,階段,拘束配置","階段,交互穩定,餡蜜可用",中,圖面有大量中高速 TAP、階段與斜向配置，並穿插長條/滑條牽制；速度反應與交互穩定是主軸，部分高速段可用餡蜜輔助。
Blessed Rain,master,14.8,物量譜面,"高速處理, 全體難, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",低,BPM 216、CHAIN 2596；中高速高密度譜面，鍵盤與節奏穩定度都重要。
初音ミクの激唱,master,14.8,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",低,BPM 200、CHAIN 2839；高密度持續，後段壓力明顯，耐力與穩定度重要。
All Over Again,master,14.8,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 210、CHAIN 3106；譜面整體密度高，持續處理量與配置穩定度是重點。
χρόνος,master,14.8,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","鍵盤, 交互穩定",中低,BPM 190、CHAIN 2892；譜面整體密度高，持續處理量與配置穩定度是重點。
DEvourER,master,14.8,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 180、CHAIN 2500；譜面整體密度高，持續處理量與配置穩定度是重點。
Oracle,master,14.8,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定",中低,BPM 205、CHAIN 2304；譜面整體密度高，持續處理量與配置穩定度是重點。
Malleus Maleficarum,master,14.8,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 213、CHAIN 2619；譜面整體密度高，持續處理量與配置穩定度是重點。
Burn it All,master,14.8,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 219、CHAIN 2138；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
Cthugha,master,14.8,物量譜面,"全體難, 最後不能鬆懈, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 213、CHAIN 2999；譜面整體密度高，持續處理量與配置穩定度是重點。
うたかたのせかいで,master,14.8,高速處理,"全體難, 混合節奏, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 216、CHAIN 2236；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。
初音天地開闢神話,master,14.8,高速處理,"全體難, 物量譜面, 拘束配置","餡蜜可用, 鍵盤, 交互穩定, 擦り可用",中低,BPM 240、CHAIN 2539；譜面有明顯高速配置，速度反應與節奏穩定度是主軸。部分重疊或滑條牽制段落可用擦り輔助。
BUCHiGiRE Berserker,master,14.8,物量譜面,"全體難, 拘束配置, 混合節奏","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 200、CHAIN 2369；中高速綜合物量型，鍵盤與節奏穩定是重點。
Paqqin (tpz Despair Remix),master,14.8,高速處理,"全體難, 物量譜面, 拘束配置","餡蜜可用, 鍵盤, 交互穩定",中低,BPM 240、CHAIN 2072；高 BPM 配置明顯，速度反應與鍵盤穩定度重要。
Sound Chimera,master,14.8,物量譜面,"全體難, 拘束配置, 混合節奏","鍵盤, 交互穩定, 擦り可用",中低,BPM 190、CHAIN 2444；整體密度高，重疊快速與混合配置多，擦り可提高部分段落穩定度。
